ID,Handle,Command,Title,Tags,Status,Variant Inventory Item ID,Variant ID,Option1 Value,Variant SKU,Variant Barcode,Variant Weight,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Policy,Variant Inventory Qty,Variant Metafield: my_fields.website_product_url [url],Variant Metafield: my_fields.model [single_line_text_field],Variant Metafield: my_fields.market_model_code [single_line_text_field],Variant Metafield: my_fields.model_group_code [single_line_text_field],Variant Metafield: my_fields.product_family_code [single_line_text_field],Variant Metafield: my_fields.product_group_code [single_line_text_field],Variant Metafield: my_fields.discount_reason [list.single_line_text_field],Variant Metafield: custom.msrp [money],Variant Metafield: my_fields.product_obsolete_date [date],Variant Metafield: variant.discontinue_status_reason [single_line_text_field],Variant Metafield: custom.variant_draft_reason [list.single_line_text_field],Variant Metafield: my_fields.variant_type [list.single_line_text_field],Variant Metafield: my_fields.source_sku [variant_reference],Variant Metafield: variant.website_product_type [single_line_text_field],Variant Metafield: variant.product_brand [single_line_text_field],Variant Metafield: custom.product_launch_date [single_line_text_field]
1627862892596,fluke-323-true-rms-clamp-meter,MERGE,Fluke 323 True RMS Clamp Meter,45 days,Active,33799963803700,32218166329396,Fluke 323,5065521,2 WEEKS,0,197.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-323,FLUKE- 323,323,CLAMP,EPROD,A,,,,,,,,,,
1627869052980,fluke-117-electricians-ideal-multimeter-with-non-contact-voltage,MERGE,Fluke 117 Electrician's Multimeter with Non-Contact Voltage,45 days,Active,33799983464500,32218185990196,Fluke 117,2538815,1 DAY,0,281.99,,TRUE,,deny,275,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-117,FLUKE-117,117,FL11X,DMMS,A,"[""TEST"",""TEST""]","{""amount"":""265.99"",""currency_code"":""USD""}",,,,,,,,
1627873673268,fluke-179-true-rms-digital-multimeter,MERGE,Fluke 179 True-RMS Digital Multimeter,,Active,14984238399540,14574103625780,Default Title,1564549,1 DAY,0,468.99,,TRUE,,deny,126,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-179,FLUKE-179 ESFP,179,FL17X,DMMS,A,,,,,,,,,,
1627876393012,fluke-376-fc-true-rms-clamp-meter,MERGE,Fluke 376 FC True-RMS Clamp Meter with iFlex,,Active,41622178201652,39527870857268,Fluke 376 FC with 18-inch iFlex,5065965,2 WEEKS,0,634.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-376-fc,FLUKE-376  FC,376FC,CLAMP,EPROD,A,,,,,,,,,,
1627876393012,fluke-376-fc-true-rms-clamp-meter,MERGE,Fluke 376 FC True-RMS Clamp Meter with iFlex,,Active,41622178234420,39527870890036,Fluke 376 FC with 36-inch iFlex,5278833,51 DAYS,0,722.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/electrical-testing/clamp-meters/fluke-376-fc,FLK-376FC-IFLEX36,376FC,CLAMP,EPROD,A,,,,,,,,,,
1627891761204,fluke-789-processmeter,MERGE,Fluke 789 ProcessMeter™,45 days,Active,33799715815476,32217918341172,Fluke 789,1633984,1 DAY,0,1322.99,,TRUE,,deny,153,https://www.fluke.com/en-us/product/calibration-tools/ma-loop-calibrators/fluke-789,FLUKE-789,789,F78X,PTOOL,L,,,,,,,,,,
1627893071924,fluke-773-milliamp-process-clamp-meter,MERGE,Fluke 773 Milliamp Process Clamp Meter,45 days,Active,33799703593012,32217906118708,Fluke 773,3362365,1 DAY,0,1743.99,,TRUE,,deny,94,https://www.fluke.com/en-us/product/calibration-tools/ma-loop-calibrators/fluke-773,FLUKE-773,773,F77X,PTOOL,L,,,,,,,,,,
1627894284340,fluke-1630-2-fc-earth-ground-clamp,MERGE,Fluke 1630-2 FC Earth Ground Clamp,,Active,14984665137204,14574500479028,Default Title,4829532,1 DAY,0,2522.99,,TRUE,,deny,65,https://www.fluke.com/en-us/product/electrical-testing/earth-ground/fluke-1630-2-fc,FLUKE-1630-2 FC,1630-2 FC,LGEO,EPROD,A,,,,,,,,,,
1642006216756,fluke-1507-insulation-resistance-tester,MERGE,Fluke 1507 Insulation Resistance Tester,45 days,Active,33799970095156,32218172620852,Fluke 1507,5066006,1 DAY,0,800.99,,TRUE,,deny,120,https://www.fluke.com/en-us/product/electrical-testing/insulation-testers/fluke-1507,FLUKE- 1507,1507,SINSU,EPROD,A,,,,,,,,,,
1653652193332,fluke-115-true-rms-digital-multimeter,MERGE,Fluke 115 Field Technicians Digital Multimeter,,Active,33799972978740,32218175504436,Fluke 115,2538790,1 DAY,0,266.99,,TRUE,,deny,1168,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-115,FLUKE-115,115,FL11X,DMMS,A,,,,,,,,,,
1653654028340,fluke-t5-600-voltage-continuity-and-current-tester,MERGE,"Fluke T5-600 Voltage, Continuity and Current Tester",45 days,Active,33799956660276,32218159185972,Fluke T5-600,648227,1 DAY,0,159.99,,TRUE,,deny,132,https://www.fluke.com/en-us/product/electrical-testing/basic-testers/fluke-t5-600,T5-600      USA,T5-600,T5,EPROD,A,,,,,,,,,,
1699190505524,fluke-tl175-twistguard-test-leads,MERGE,Fluke TL175 TwistGuard™ Test Leads,0 days,Active,33817656393780,32235858952244,Fluke TL175,3521976,1 DAY,501,43.99,43.99,TRUE,,deny,1689,https://www.fluke.com/en-us/product/accessories/test-leads/fluke-tl175,TL175,TL175,LEAD,ACC,A,,,,,,,,,,
1699190505524,fluke-tl175-twistguard-test-leads,MERGE,Fluke TL175 TwistGuard™ Test Leads,0 days,Active,33817656426548,32235858985012,Fluke TL175E,3565554,1 DAY,501,41.39,45.99,TRUE,,deny,788,https://www.fluke.com/en-us/product/accessories/test-leads/fluke-tl175,TL175E,TL175,LEAD,ACC,A,,,,,,,,,,
1699191259188,fluke-tl75-hard-point-test-lead-set,MERGE,Fluke TL75 Hard Point™ Test Lead Set,,Active,15402188963892,14919167410228,Default Title,855705,1 DAY,501,31.49,34.99,TRUE,,deny,268,https://www.fluke.com/en-us/product/accessories/test-leads/fluke-tl75,TL75,TL75,LEAD,ACC,A,,,,,,,,,,
1699192766516,fluke-tpak-toolpak-magnetic-meter-hanger,MERGE,Fluke TPAK ToolPak™ Magnetic Meter Hanger,0 days,Active,15402199351348,14919174389812,Default Title,1281997,1 WEEK,0,52.99,,TRUE,,deny,0,https://www.fluke.com/en-us/product/accessories/magnetic-hangers-utility-tools/tpak,TPAK,TPAK,HANG,ACC,A,,,,,,,,,,
1699194110004,fluke-pack30-professional-tool-backpack,MERGE,Fluke Pack30 Professional Tool Backpack,0 days,Active,15402204102708,14919178485812,Default Title,4983088,1 DAY,501,202.49,224.99,TRUE,,deny,2480,https://www.fluke.com/en-us/product/accessories/cases/fluke-pack30,FLUKEPACK30,BPAK,CASE,ACC,A,,,,,,,,,,
1699194961972,fluke-c50-meter-case,MERGE,Fluke C50 Meter Case,0 days,Active,15402209804340,14919182778420,Default Title,762823,1 DAY,501,50.39,55.99,TRUE,,deny,2304,https://www.fluke.com/en-us/product/accessories/cases/fluke-c50,C50,C50,CASE,ACC,A,,,,,,,,,,
3739226144820,fluke-116-323-hvac-combo-kit-includes-multimeter-and-clamp-meter,MERGE,Fluke 116/323 HVAC Combo Kit - Includes Multimeter and Clamp Meter,"10 days, Fluke-Tools",Active,29952866746420,28895884279860,Default Title,4296029,1 DAY,501,356.39,395.99,TRUE,,deny,88,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-116-323-kit,FLUKE-116/323 KIT,116,FL11X,DMMS,A,,,,,,,,,,
3739275034676,fluke-116-62-maxplus-technician-s-combo-kit,MERGE,Fluke 116/62 MAX+ Technicianâ€™s Combo Kit,"10 days, Fluke-Tools",Active,29953416462388,28896366067764,Default Title,4296018,1 DAY,501,314.09,348.99,TRUE,,deny,17,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-116-62-max-plus-kit,FLUKE-116/62 MAX+,116,FL11X,DMMS,A,,,,,,,,,,
3739275100212,fluke-117-323-electricians-multimeter-combo-kit,MERGE,Fluke 117/323 Electricians Multimeter Combo Kit,"30 days, Fluke-Tools",Active,29953416527924,28896366395444,Default Title,4296041,1 DAY,0,444.99,,TRUE,,deny,91,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-117-323-kit,FLUKE-117/323 KIT,117,FL11X,DMMS,A,,,,,,,,,,
3739275132980,fluke-175-true-rms-digital-multimeter,MERGE,Fluke 175 True-RMS Digital Multimeter,,Active,29953416560692,28896366428212,Default Title,1564551,1 DAY,0,414.99,,TRUE,,deny,84,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-175,FLUKE-175 ESFP,175,FL17X,DMMS,A,,,,,,,,,,
3739275165748,fluke-177-true-rms-digital-multimeter,MERGE,Fluke 177 True-RMS Digital Multimeter,,Active,29953416593460,28896366460980,Default Title,1564560,1 DAY,0,424.99,,TRUE,,deny,82,https://www.fluke.com/en-us/product/electrical-testing/digital-multimeters/fluke-177,FLUKE-177 ESFP,177,FL17X,DMMS,A,,,,,,,,,,
