Order ID,Created at,Lineitem quantity,Lineitem name,Lineitem sku,Customer ID
30326,8/17/2023 7:13,1,Fluke 87V Industrial Multimeter - Fluke 87V,2074974,6331761716
30325,8/17/2023 6:37,1,561 HVAC Infrared & Contact Thermometer - Fluke 561,5065882,6314427444
30324,8/17/2023 5:38,1,Fluke 325 True RMS Clamp Meter - Fluke 325,5065866,6282871860
30323,8/17/2023 4:28,1,Fluke 9040 Phase Rotation Indicator,2435050,1171084340
30322,8/16/2023 22:53,1,568 Contact & Infrared Temp Gun,2837806,9778654260
30322,8/16/2023 22:53,1,Fluke 80PK-26 SureGrip™ Tapered Temperature Probe,2098714,9778654260
30321,8/16/2023 20:13,1,Fluke 88V Deluxe Automotive Multimeter,2550519,4906452020
30320,8/16/2023 16:49,1,Fluke 87V IMSK Industrial Multimeter Service Combo Kit,3448783,8071428148
30319,8/16/2023 15:59,3,Fluke 115 Field Technicians Digital Multimeter - Fluke 115,2538790,5670929460
30318,8/16/2023 15:26,1,Fluke LVD2 Non-Contact Voltage Tester,2740300,5591598132
30317,8/16/2023 15:20,1,Fluke 115 Field Technicians Digital Multimeter - Fluke 115,2538790,5587403828
30316,8/16/2023 15:08,2,Fluke 179 True-RMS Digital Multimeter,1564549,5560894516
30315,8/16/2023 14:06,1,393 FC CAT III 1500 V True-rms Clamp Meter with iFlex,5274864,5463737396
30314,8/16/2023 13:55,1,Fluke ST120+ GFCI Socket Tester with Beeper,5310334,5450433588
30313,8/16/2023 12:53,3,Fluke 233 Remote Display Digital Multimeter,3463576,6534265908
30313,8/16/2023 12:53,3,Fluke TL175 TwistGuard™ Test Leads - Fluke TL175,3521976,6534265908
30312,8/16/2023 12:22,1,Fluke 116/323 HVAC Combo Kit - Includes Multimeter and Clamp Meter,4296029,5359830068
30311,8/16/2023 12:18,1,Fluke AC285 SureGrip™ Alligator Clips,1610159,5356553268
30310,8/16/2023 12:15,1,TiS75+ Thermal Camera,5160043,971349044
30309,8/16/2023 11:53,1,Fluke LVD2 Non-Contact Voltage Tester,2740300,5344068660
30309,8/16/2023 11:53,1,Fluke Networks Pro3000F60-KIT Tone Generator and Filtered Probe,4962074,5344068660
30308,8/16/2023 11:07,1,Fluke TL71 Premium Test Lead Set,1274382,5317854260
30308,8/16/2023 11:07,1,Fluke AC175 Alligator Clip Set,4101772,5317854260
30307,8/16/2023 10:56,2,Fluke TL221 SureGrip™ Test Lead Extension Set,2003602,5311300660
30306,8/16/2023 10:49,4,Fluke 77 IV Digital Multimeter - Fluke 77 IV,2727486,5306778676
30305,8/16/2023 9:37,1,Fluke 117 Electrician's Multimeter with Non-Contact Voltage - Fluke 117,2538815,5267194932
30304,8/16/2023 9:25,1,Fluke 1587 FC Advanced Electrical Troubleshooting Kit,4692778,5261296692
30303,8/16/2023 7:58,1,Fluke 289 True-RMS Data Logging Multimeter - Fluke 289,2675778,2337262644
30302,8/16/2023 7:57,2,Fluke TLK282 SureGrip™ Deluxe Automotive Test Lead Kit,2150744,5215454260
30301,8/16/2023 7:16,1,Fluke BP190 Rechargeable NiMH Battery Pack,677390,5195564084
30300,8/16/2023 6:44,1,Fluke 9040 Phase Rotation Indicator,2435050,9617805364
30299,8/16/2023 6:26,1,Fluke L215 SureGrip™ Kit with Probe Light and Probe Extenders,2096368,6711792692
30298,8/16/2023 5:53,1,Fluke Networks MicroScanner™ Cable Verifier,2772449,5150409780
30298,8/16/2023 5:53,1,Fluke 9040 Phase Rotation Indicator,2435050,5150409780
30298,8/16/2023 5:53,1,Fluke 87V MAX E2 Industrial Electrician Combo Kit,5160712,5150409780
30298,8/16/2023 5:53,1,Fluke i400 AC Current Clamp,2277225,5150409780
30297,8/16/2023 5:46,1,Fluke 87V/E2 Industrial Electrician Combo Kit - Fluke 87V/E2 Kit,2670150,5150737460
30296,8/16/2023 5:38,1,Fluke 325 True RMS Clamp Meter - Fluke 325,5065866,5144413236
30295,8/16/2023 4:46,1,Fluke 787B ProcessMeter™ - Fluke 787B,4777186,5126030388
30294,8/15/2023 18:26,2,Fluke 2AC Non-Contact Voltage Tester,3807928,4853924916
30293,8/15/2023 18:19,1,Fluke 190 Series III ScopeMeter® Test Tools - ScopeMeter 190-062-III Test Tool,5282331,4850680884
30292,8/15/2023 17:20,1,Fluke TL175 TwistGuard™ Test Leads - Fluke TL175,3521976,4820960308
30291,8/15/2023 15:59,1,Fluke 80K-40 High Voltage Probe,382846,468893748
30290,8/15/2023 15:00,1,Fluke TL75 Hard Point™ Test Lead Set,855705,4750050356
30289,8/15/2023 14:02,1,Fluke 64 MAX IR Thermometer,4856105,4124443700
30288,8/15/2023 13:41,1,"Fluke T5-1000 Voltage, Continuity and Current Tester - Fluke T5-1000",648219,4703880244
30287,8/15/2023 13:24,1,Fluke C25 Large Soft Case for DMMs,681114,6114832436
30286,8/15/2023 13:21,1,Keypad,2105884,6114832436
30285,8/15/2023 13:06,1,Fluke TL175 TwistGuard™ Test Leads - Fluke TL175,3521976,4553245748
30284,8/15/2023 12:59,4,Fluke TL223 SureGrip™ Electrical Test Lead Set,2003633,4688675892
30283,8/15/2023 12:15,1,Fluke 87V Industrial Multimeter - Fluke 87V,2074974,4666491956
30282,8/15/2023 11:53,1,393 FC CAT III 1500 V True-rms Clamp Meter with iFlex,5274864,4653483060
30282,8/15/2023 11:53,1,Fluke Networks MT-8200-60-KIT IntelliTone™ Pro 200 Toner and Probe Kit,4586068,4653483060
30281,8/15/2023 11:29,2,Fluke 87V Industrial Multimeter - Fluke 87V,2074974,1368257588
30281,8/15/2023 11:29,2,Fluke 725 Multifunction Process Calibrator,664133,1368257588
30281,8/15/2023 11:29,2,Fluke TLK-225 SureGrip™ Master Accessory Set,2097031,1368257588
30280,8/15/2023 11:07,1,393 FC CAT III 1500 V True-rms Clamp Meter with iFlex,5274864,4620813364
30279,8/15/2023 11:00,1,566 Thermal Gun Infrared & Contact Thermometer,2837799,4621075508
30278,8/15/2023 10:52,1,Fluke TP1 Slim Reach Test Probes,650887,4616881204
30277,8/15/2023 10:07,2,Fluke 789 ProcessMeter™ - Fluke 789,1633984,4591354932
30277,8/15/2023 10:07,1,Fluke 1587 FC Insulation Multimeter,4691215,4591354932
30277,8/15/2023 10:07,1,Fluke TLK-225 SureGrip™ Master Accessory Set,2097031,4591354932
30276,8/15/2023 9:36,1,Fluke 87V Industrial Multimeter - Fluke 87V,2074974,4577592372
30275,8/15/2023 9:28,1,Fluke 773 Milliamp Process Clamp Meter - Fluke 773,3362365,4573398068
30274,8/15/2023 9:00,1,"Shield, Top",5315361,9301565492
30273,8/15/2023 8:55,1,Fluke 117 Electrician's Multimeter with Non-Contact Voltage - Fluke 117,2538815,4553475124
30272,8/15/2023 8:53,1,Fluke TLK-225 SureGrip™ Master Accessory Set,2097031,4553245748
30271,8/15/2023 8:26,1,Fluke TL75 Hard Point™ Test Lead Set,855705,4536337460
30270,8/15/2023 7:55,1,Fluke TiS20+ / TiS20+ MAX Thermal Imaging Camera - Fluke TiS20+ (-20 °C to 150 °C),5124518,4519691316
30269,8/15/2023 7:43,1,Fluke 87V IMSK Industrial Multimeter Service Combo Kit,3448783,4513891380
30268,8/15/2023 7:40,2,Fluke TL220 SureGrip™ Industrial Test Lead Set,2003625,4512941108
30267,8/15/2023 7:38,1,Fluke TL175 TwistGuard™ Test Leads - Fluke TL175,3521976,5521810484
30266,8/15/2023 6:09,1,Fluke ST120+ GFCI Socket Tester with Beeper,5310334,4472079412
30265,8/15/2023 6:08,1,Fluke 87V Industrial Multimeter - Fluke 87V,2074974,4430890036
30264,8/15/2023 0:12,1,Fluke 789 ProcessMeter™ - Fluke 789,1633984,3842081844
30263,8/14/2023 23:24,1,Fluke 179 IMSK Industrial Multimeter Service Kit,4370598,4353229876
30262,8/14/2023 21:39,1,Fluke 64 MAX IR Thermometer,4856105,4330226740
30261,8/14/2023 18:43,1,Fluke 325 True RMS Clamp Meter - Fluke 325,5065866,4262626356
30260,8/14/2023 18:34,1,393 FC CAT III 1500 V True-rms Clamp Meter with iFlex,5274864,4934338612
30260,8/14/2023 18:34,1,Fluke 1AC II Non-Contact Voltage Tester,2432932,4934338612
30259,8/14/2023 17:39,1,Fluke TPAK ToolPak™ Magnetic Meter Hanger,1281997,4233987124
30259,8/14/2023 17:39,1,Fluke C25 Large Soft Case for DMMs,681114,4233987124
30258,8/14/2023 16:47,2,Fluke 113 Digital Multimeter - Fluke 113 Digital Multimeter,3078875,4206396468
30257,8/14/2023 16:16,1,Fluke 2AC Non-Contact Voltage Tester,3807928,4188144692
30257,8/14/2023 16:16,1,"Fluke T5-600 Voltage, Continuity and Current Tester - Fluke T5-600",648227,4188144692
30256,8/14/2023 15:54,1,Fluke TL75 Hard Point™ Test Lead Set,855705,4181165108
